,model_name,num_files,preprocessing_time,inference_time
0,Baseline,2000,11.113295316696167,1.566072940826416
1,Baseline,4000,24.388108253479004,1.7818398475646973
2,Baseline,6000,34.08805251121521,2.178313970565796
3,Baseline,8000,46.00640058517456,2.6956799030303955
4,Baseline,10000,57.613903760910034,3.277988910675049
5,Baseline,12000,80.7978765964508,3.8355207443237305
6,Baseline,14000,85.64164447784424,4.603820085525513
7,Baseline,16000,96.03335642814636,5.125881195068359
8,Baseline,18000,122.40933680534363,5.670247793197632
9,Baseline,20000,115.92788910865784,6.022107839584351
10,Baseline,22000,147.0719485282898,6.758958578109741
11,Baseline,24000,151.4051423072815,7.16211199760437
12,Baseline,26000,162.38169622421265,8.048716068267822
13,Baseline,28000,190.8481833934784,8.25389814376831
14,Baseline,30000,188.79527163505554,8.883552312850952
15,Baseline,32000,209.2855565547943,9.399960041046143
16,Baseline,34000,221.04177832603455,9.941498756408691
17,Baseline,36000,233.13528633117676,10.47506833076477
18,Baseline,38000,259.3137593269348,11.14152216911316
19,Baseline,40000,269.39794182777405,11.537522315979004
20,Baseline,42000,299.0624737739563,12.206959009170532
21,Baseline,44000,312.3991448879242,12.666820764541626
22,Baseline,46000,329.1956946849823,13.459315538406372
23,Baseline,48000,349.60429430007935,13.808805465698242
24,Baseline,50000,390.6317808628082,14.615868330001831
25,LeakyPostBN,2000,11.364120483398438,1.2705485820770264
26,LeakyPostBN,4000,25.804306507110596,1.6633546352386475
27,LeakyPostBN,6000,37.64691352844238,2.2216553688049316
28,LeakyPostBN,8000,44.03202795982361,3.31451678276062
29,LeakyPostBN,10000,57.34651160240173,3.3012735843658447
30,LeakyPostBN,12000,72.61562514305115,3.907510757446289
31,LeakyPostBN,14000,85.14153146743774,4.4212353229522705
32,LeakyPostBN,16000,97.31646013259888,4.9636664390563965
33,LeakyPostBN,18000,105.85354161262512,6.073930501937866
34,LeakyPostBN,20000,124.45827770233154,6.2301647663116455
35,LeakyPostBN,22000,130.3038306236267,6.750952482223511
36,LeakyPostBN,24000,151.56481313705444,7.349889039993286
37,LeakyPostBN,26000,166.64662051200867,7.734137058258057
38,LeakyPostBN,28000,173.77730250358582,8.264724969863892
39,LeakyPostBN,30000,190.77220511436462,8.835965871810913
40,LeakyPostBN,32000,213.41786575317383,9.575026512145996
41,LeakyPostBN,34000,237.9111611843109,10.102689504623413
42,LeakyPostBN,36000,241.0626335144043,10.534160375595093
43,LeakyPostBN,38000,259.93621921539307,11.26558780670166
44,LeakyPostBN,40000,267.90949511528015,11.768256902694702
45,LeakyPostBN,42000,298.04212951660156,12.357829332351685
46,LeakyPostBN,44000,302.6743414402008,12.937856435775757
47,LeakyPostBN,46000,332.3876602649689,13.510053873062134
48,LeakyPostBN,48000,334.77030992507935,13.977287292480469
49,LeakyPostBN,50000,373.68478059768677,14.49275016784668
