,error_train,logloss_train,error_val,logloss_val,epoch
0,0.047225,0.476722,0.059447,0.482915,1
1,0.039758,0.354719,0.052083,0.365132,2
2,0.037526,0.276116,0.052622,0.291733,3
3,0.03564,0.223432,0.051365,0.242912,4
4,0.033446,0.185075,0.048132,0.20869,5
5,0.031522,0.15875,0.047953,0.186263,6
6,0.030791,0.139207,0.046695,0.168453,7
7,0.029174,0.123173,0.047055,0.156997,8
8,0.027596,0.111481,0.045438,0.148344,9
9,0.027288,0.103009,0.045438,0.142744,10
10,0.026287,0.095786,0.044181,0.138317,11
11,0.025595,0.090639,0.045259,0.135752,12
12,0.024671,0.085948,0.045259,0.133544,13
13,0.023439,0.081735,0.043822,0.131558,14
14,0.022285,0.076213,0.043103,0.128626,15
15,0.0219,0.073379,0.042744,0.127417,16
16,0.020822,0.070072,0.043103,0.124871,17
17,0.019898,0.066478,0.041487,0.122505,18
18,0.019475,0.064725,0.041128,0.121913,19
19,0.018436,0.061941,0.041487,0.120777,20
20,0.017782,0.060136,0.041307,0.120203,21
21,0.017281,0.058573,0.041846,0.119819,22
22,0.016396,0.05614,0.041307,0.119171,23
23,0.016088,0.054089,0.04023,0.117752,24
24,0.015588,0.052451,0.04005,0.11775,25
25,0.015049,0.050865,0.039511,0.116987,26
26,0.014472,0.048918,0.038793,0.116295,27
27,0.014395,0.048355,0.038434,0.115829,28
28,0.01401,0.04692,0.038614,0.115724,29
29,0.013779,0.045948,0.037895,0.116061,30
30,0.013317,0.044417,0.038254,0.115327,31
31,0.012393,0.042707,0.037895,0.114724,32
32,0.011739,0.041605,0.037177,0.114978,33
33,0.011393,0.041009,0.037716,0.115228,34
34,0.010854,0.040352,0.037356,0.11521,35
35,0.010931,0.040086,0.037356,0.115169,36
36,0.010815,0.039701,0.037716,0.115264,37
37,0.010661,0.039477,0.037716,0.115215,38
38,0.010507,0.03877,0.037177,0.115538,39
39,0.010238,0.037252,0.037536,0.11604,40
40,0.009661,0.036056,0.036818,0.115466,41
41,0.009661,0.03578,0.036997,0.115626,42
42,0.00943,0.035081,0.037177,0.115613,43
43,0.009083,0.034434,0.036458,0.115561,44
44,0.009006,0.034311,0.036458,0.115499,45
45,0.008544,0.033521,0.037177,0.115805,46
46,0.008275,0.03258,0.03592,0.115808,47
